,rank,name,address,phone number,url,website,rating,number of reviews,tag,how many $ sign,delivery tag etc.,whether can be ordered on yelp,geolocation
11,12, Glaze Donuts,"4499 Mission St San Francisco, CA 94112",(415) 334-1144,https://www.yelp.com/biz/glaze-donuts-san-francisco?osq=Donut+Shop,NULL,4,89,"['Donuts', 'Breakfast & Brunch', 'Bagels']",$,"{'Delivery': 1, 'Takeout': 1}",yes,"(-122.43328, 37.726248)"
12,13, Rolling Pin Donuts,"429 San Bruno Ave W San Bruno, CA 94066",(650) 589-9687,https://www.yelp.com/biz/rolling-pin-donuts-san-bruno?osq=Donut+Shop,http://www.rollingpindonut.com,4,785,"['Bakeries', 'Donuts']",NULL,"{'Delivery': 1, 'Takeout': 1}",yes,"(-122.414512, 37.62934)"
13,14, Grand Mission Donuts & Bakery,"2195 Mission St San Francisco, CA 94110",NULL,https://www.yelp.com/biz/grand-mission-donuts-and-bakery-san-francisco?osq=Donut+Shop,NULL,4,104,"['Donuts', 'Bakeries']",$,NULL,no,"(-122.419065, 37.762004)"
14,15, Johnny Doughnuts,"392 Fulton St San Francisco, CA 94102",(415) 400-5078,https://www.yelp.com/biz/johnny-doughnuts-san-francisco-4?osq=Donut+Shop,http://johnnydoughnuts.com,3.5,220,"['Donuts', 'Coffee & Tea', 'Food Trucks']",$$,"{'Outdoor dining': 1, 'Delivery': 1, 'Takeout': 1}",no,"(-122.423215, 37.77889)"
15,16, Donuts & Things,"1549 Polk St San Francisco, CA 94109",(415) 885-1942,https://www.yelp.com/biz/donuts-and-things-san-francisco?osq=Donut+Shop,NULL,4.5,118,"['Donuts', 'Coffee & Tea']",$,"{'Outdoor dining': 0, 'Delivery': 0, 'Takeout': 1}",no,"(-122.421144, 37.791235)"
16,17, Hookt Doughnuts,"1379 4th St San Francisco, CA 94158",(415) 890-6577,https://www.yelp.com/biz/hookt-doughnuts-san-francisco-3?osq=Donut+Shop,http://www.hooktdoughnuts.com,4,154,"['Donuts', 'Desserts', 'Sandwiches']",$,"{'Outdoor dining': 1, 'Delivery': 1, 'Takeout': 1}",yes,"(-122.431272, 37.778008)"
17,18, Devil’s Teeth Baking Company,"3876 Noriega St San Francisco, CA 94122",(415) 683-5533,https://www.yelp.com/biz/devils-teeth-baking-company-san-francisco?osq=Donut+Shop,http://devilsteethbakingcompan…,4.5,1847,"['Bakeries', 'Breakfast & Brunch', 'Sandwiches']",$,"{'Outdoor dining': 1, 'Delivery': 1, 'Takeout': 1}",yes,"(-122.505033, 37.753119)"
18,19, Happy Donuts,"1794 Haight St San Francisco, CA 94117",(415) 386-1650,https://www.yelp.com/biz/happy-donuts-san-francisco-15?osq=Donut+Shop,NULL,3,50,['Donuts'],$,{'Takeout': 1},no,"(-122.45173, 37.769631)"
19,20, Trish’s Mini Donuts,"Pier 39 Concourse San Francisco, CA 94133",(415) 981-4318,https://www.yelp.com/biz/trishs-mini-donuts-san-francisco-3?osq=Donut+Shop,https://www.trishcaters.com,4.5,962,['Donuts'],$,"{'Delivery': 1, 'Takeout': 1}",yes,"(-122.431272, 37.778008)"
20,21, Jim Georgie’s Donuts,"2462 San Bruno Ave San Francisco, CA 94134",(415) 468-3413,https://www.yelp.com/biz/jim-georgies-donuts-san-francisco?osq=Donut+Shop,NULL,4.5,172,"['Donuts', 'American (Traditional)']",$,"{'Delivery': 1, 'Takeout': 1}",no,"(-122.405088, 37.730834)"
21,22, Dynamo Donut & Coffee,"110 Yacht Rd San Francisco, CA 94123",(415) 920-1978,https://www.yelp.com/biz/dynamo-donut-and-coffee-san-francisco-3?osq=Donut+Shop,http://www.dynamodonut.com,4,140,"['Coffee & Tea', 'Donuts']",$,"{'Delivery': 1, 'Curbside Pickup': 0}",no,"(-122.447255, 37.806542)"
22,23, Hahdough,"509 Laguna St San Francisco, CA 94102",(415) 676-0576,https://www.yelp.com/biz/hahdough-san-francisco-5?osq=Donut+Shop,http://hahdough.com,4.5,72,"['Donuts', 'Patisserie/Cake Shop', 'Pretzels']",$$,{'Delivery': 1},no,"(-122.426313, 37.77586)"
23,24, California Bakery,"719 Taraval St San Francisco, CA 94116",(415) 864-1385,https://www.yelp.com/biz/california-bakery-san-francisco-3?osq=Donut+Shop,NULL,4.5,46,['Bakeries'],NULL,"{'Proof of vaccination required': 1, 'Takeout': 1, 'Curbside Pickup': 0}",no,"(-122.47392, 37.743007)"
24,25, Donut Farm,"1 Ferry Bldg Ste 14 San Francisco, CA 94111",NULL,https://www.yelp.com/biz/donut-farm-san-francisco?osq=Donut+Shop,https://www.vegandonut.farm,4,319,"['Donuts', 'Vegan']",$,{'Takeout': 1},no,"(-122.393871, 37.796258)"
25,26, Mochill Mochi Donut,"3251 20th Ave Level 1 San Francisco, CA 94132",NULL,https://www.yelp.com/biz/mochill-mochi-donut-san-francisco-4?osq=Donut+Shop,http://www.mochillsf.com,3.5,74,['Donuts'],$$,"{'Delivery': 1, 'Takeout': 1}",yes,"(-122.476655, 37.727735)"
26,27, Choux,"248 Fillmore St San Francisco, CA 94117",(628) 218-6820,https://www.yelp.com/biz/choux-san-francisco?osq=Donut+Shop,http://www.chouxsf.com,4,302,"['Bakeries', 'Desserts', 'French']",$,"{'Outdoor dining': 0, 'Delivery': 1, 'Takeout': 1}",yes,"(-122.43029, 37.77184)"
27,28, Royal Donut,"236 Skyline Plz Daly City, CA 94015",(650) 997-3758,https://www.yelp.com/biz/royal-donut-daly-city?osq=Donut+Shop,NULL,4.5,146,"['Donuts', 'Coffee & Tea']",NULL,NULL,no,"(-122.481757, 37.676219)"
28,29, Happy Donuts,"2101 Van Ness Ave San Francisco, CA 94109",(415) 800-7399,https://www.yelp.com/biz/happy-donuts-san-francisco-4?osq=Donut+Shop,http://happydonutssanfrancisco…,3.5,73,"['Donuts', 'Bagels', 'Breakfast & Brunch']",$,{'Delivery': 1},yes,"(-122.423627, 37.795039)"
29,30, All Star Cafe,"98 9th St San Francisco, CA 94103",(415) 863-4949,https://www.yelp.com/biz/all-star-cafe-san-francisco-3?osq=Donut+Shop,http://allstarcafe.top-cafes.c…,4,208,"['Donuts', 'Coffee & Tea', 'Breakfast & Brunch']",$,"{'Delivery': 1, 'Takeout': 1}",yes,"(-122.415086, 37.776285)"
30,31, Hot Cookie,"407 Castro St San Francisco, CA 94114",(415) 621-2350,https://www.yelp.com/biz/hot-cookie-san-francisco?osq=Donut+Shop,http://www.hotcookie.com,4,1542,"['Bakeries', 'Desserts']",$$,"{'Delivery': 1, 'Takeout': 1, 'Curbside Pickup': 1}",yes,"(-122.434999, 37.762319)"
31,32, Third Culture Bakery,"2701 Eighth St Ste 101 Berkeley, CA 94710",(415) 484-5539,https://www.yelp.com/biz/third-culture-bakery-berkeley?osq=Donut+Shop,https://www.thirdculturebakery…,4.5,889,"['Bakeries', 'Coffee & Tea', 'Desserts']",$$,"{'Delivery': 1, 'Takeout': 1, 'Curbside Pickup': 1}",no,"(-122.291514, 37.856981)"
32,33, Top of the Hill Cafe,"6300 Mission St Daly City, CA 94014",(650) 731-8999,https://www.yelp.com/biz/top-of-the-hill-cafe-daly-city?osq=Donut+Shop,NULL,4.5,104,['Donuts'],NULL,NULL,no,"(-122.481757, 37.676219)"
33,34, Happy Donut,"299 Ellis St San Francisco, CA 94102",(415) 440-1010,https://www.yelp.com/biz/happy-donut-san-francisco-8?osq=Donut+Shop,NULL,4,42,['Donuts'],$,NULL,no,"(-122.410896, 37.784894)"
34,35, Dough,"1455 Market St San Francisco, CA 94103",(415) 864-0888,https://www.yelp.com/biz/dough-san-francisco?osq=Donut+Shop,https://www.sfdough.com,4.5,74,"['Donuts', 'Pizza']",NULL,"{'Delivery': 1, 'Takeout': 1}",yes,"(-122.417523, 37.775238)"
35,36, Dunkin’,"180 S Airport Blvd South San Francisco, CA 94080",(650) 742-9101,https://www.yelp.com/biz/dunkin-south-san-francisco-2?osq=Donut+Shop,http://www.dunkindonuts.com,2.5,307,"['Coffee & Tea', 'Donuts']",NULL,"{'Delivery': 1, 'Takeout': 1}",yes,"(-122.405989, 37.649398)"
36,37, Rainbow Donuts,"2025 San Pablo Ave Berkeley, CA 94702",(510) 644-2029,https://www.yelp.com/biz/rainbow-donuts-berkeley-2?osq=Donut+Shop,NULL,4.5,280,"['Bakeries', 'Donuts']",$,NULL,no,"(-122.291562, 37.868707)"
37,38, Donut Times,"2401 Noriega St San Francisco, CA 94122",(415) 753-8997,https://www.yelp.com/biz/donut-times-san-francisco?osq=Donut+Shop,NULL,3.5,56,"['Donuts', 'Bakeries', 'Coffee & Tea']",$$,{'Delivery': 0},no,"(-122.489483, 37.753509)"
38,39, Las Hijas Del Gallo Bakery,"615 Linden Ave South San Francisco, CA 94080",(650) 446-3223,https://www.yelp.com/biz/las-hijas-del-gallo-bakery-south-san-francisco?osq=Donut+Shop,https://www.southsanfranciscoc…,4.5,145,"['Bakeries', 'Coffee & Tea']",NULL,NULL,no,"(-122.409228, 37.658691)"
39,40, Krispy Kreme,"1575 Sullivan Ave Daly City, CA 94015",(650) 985-5612,https://www.yelp.com/biz/krispy-kreme-daly-city-2?osq=Donut+Shop,http://www.krispykreme.com,3.5,522,"['Donuts', 'Coffee & Tea']",NULL,"{'Delivery': 1, 'Takeout': 1}",no,"(-122.481757, 37.676219)"
40,41, Krispy Kreme,"1575 Sullivan Ave Daly City, CA 94015",(650) 985-5612,https://www.yelp.com/biz/krispy-kreme-daly-city-2?osq=Donut+Shop,http://www.krispykreme.com,3.5,522,"['Donuts', 'Coffee & Tea']",NULL,"{'Delivery': 1, 'Takeout': 1}",no,"(-122.481757, 37.676219)"
41,42, Donut Time,"10740 San Pablo Ave El Cerrito, CA 94530",(510) 526-6353,https://www.yelp.com/biz/donut-time-el-cerrito?osq=Donut+Shop,NULL,4.5,144,['Donuts'],NULL,NULL,no,"(-122.309224, 37.913793)"
42,43, Milkbomb Ice Cream,"1717 17th St Ste 105 San Francisco, CA 94103",(415) 903-4281,https://www.yelp.com/biz/milkbomb-ice-cream-san-francisco-3?osq=Donut+Shop,https://www.milkbombicecream.c…,4.5,703,"['Ice Cream & Frozen Yogurt', 'Donuts']",$$,"{'Delivery': 1, 'Takeout': 1, 'Curbside Pickup': 0}",no,"(-122.431272, 37.778008)"
43,44, Mazzetti’s Bakery,"101 Manor Dr Pacifica, CA 94044",(650) 355-1007,https://www.yelp.com/biz/mazzettis-bakery-pacifica?osq=Donut+Shop,http://www.mazzettisbakery.com,4,1202,"['Bakeries', 'Donuts', 'Cupcakes']",NULL,"{'Delivery': 0, 'Takeout': 1}",no,"(-122.490415, 37.649389)"
44,45, Happy Donut,"145 Columbus Ave San Francisco, CA 94133",(415) 956-9189,https://www.yelp.com/biz/happy-donut-san-francisco-7?osq=Donut+Shop,NULL,4,186,"['Donuts', 'Coffee & Tea', 'Sandwiches']",$,NULL,no,"(-122.405494, 37.796872)"
45,46, King Pin Donuts,"2521 Durant Ave Ste A Berkeley, CA 94704",(510) 843-6688,https://www.yelp.com/biz/king-pin-donuts-berkeley?osq=Donut+Shop,http://www.kingpindonuts.com,4,667,"['Donuts', 'Desserts']",$,NULL,no,"(-122.258032, 37.868213)"
46,47, Butter Love Bakeshop,"3717 Balboa St San Francisco, CA 94121",(415) 702-6344,https://www.yelp.com/biz/butter-love-bakeshop-san-francisco-2?osq=Donut+Shop,http://www.butterlovebakeshop.…,4.5,183,"['Desserts', 'Bakeries']",$$,{'Takeout': 0},no,"(-122.498737, 37.775402)"
47,48, Happy Donut,"351 E Market St Daly City, CA 94014",(650) 992-1145,https://www.yelp.com/biz/happy-donut-daly-city?osq=Donut+Shop,NULL,4.5,43,"['Bagels', 'Donuts', 'Sandwiches']",NULL,{'Takeout': 1},yes,"(-122.481757, 37.676219)"
48,49, Donut King,"504 Grand Ave South San Francisco, CA 94080",(650) 742-6736,https://www.yelp.com/biz/donut-king-south-san-francisco?osq=Donut+Shop,NULL,4.5,22,"['Donuts', 'Coffee & Tea', 'Breakfast & Brunch']",NULL,NULL,no,"(-122.344612, 37.653515)"
49,50, Les Croissants Cafe,"1840 Geary Blvd San Francisco, CA 94115",(415) 292-6688,https://www.yelp.com/biz/les-croissants-cafe-san-francisco?osq=Donut+Shop,NULL,3.5,46,"['Coffee & Tea', 'Donuts', 'Delis']",$,NULL,no,"(-122.431272, 37.778008)"
